11;alla;...;2011-02-11 08:20:25.508933;2011-02-11 08:20:25.508933;
25;fritid & hobby;;2011-03-07 09:47:18.208936;2011-03-07 09:47:18.208936;11
26;husdjur;;2011-03-07 09:49:04.014936;2011-03-07 09:49:04.014936;11/25
27;mat & dryck;;2011-03-07 09:49:21.575936;2011-03-07 09:49:21.575936;11/25
28;foto & video;;2011-03-07 09:49:58.791936;2011-03-07 09:49:58.791936;11/25
29;båtliv;;2011-03-07 09:50:39.236936;2011-03-07 09:50:39.236936;11/25
30;motor;bil, mc, motorsport, utställningar ;2011-03-07 09:51:26.887936;2011-03-07 09:51:26.887936;11/25
31;trädgård;;2011-03-07 09:51:45.022936;2011-03-07 09:51:45.022936;11/25
32;hantverk & handarbete;;2011-03-07 09:52:07.807936;2011-03-07 09:52:07.807936;11/25
33;teve- & dataspel;;2011-03-07 09:52:26.782936;2011-03-07 09:52:26.782936;11/25
34;kultur & nöje;;2011-03-07 09:52:50.327936;2011-03-07 09:52:50.327936;11
35;teater;musikaler, revy, operetter, opera;2011-03-07 09:53:54.819936;2011-03-07 09:53:54.819936;11/34
36;konsert;klassiskt, rock, jazz, folkmusik, körer;2011-03-07 09:54:47.652936;2011-03-07 09:54:47.652936;11/34
37;cirkus & tivoli;;2011-03-07 09:55:13.667936;2011-03-07 09:55:13.667936;11/34
38;dansa;klubb, sällskapsdans, folkmusik, ...;2011-03-07 09:55:56.524936;2011-03-07 09:55:56.524936;11/34
39;konst & utställningar;;2011-03-07 09:56:28.287936;2011-03-07 09:56:28.287936;11/34
40;litteratur & poesi;;2011-03-07 09:57:21.770936;2011-03-07 09:57:21.770936;11/34
41;festival;;2011-03-07 09:57:56.387936;2011-03-07 09:58:13.325936;11/34
42;uppträdande & shower;;2011-03-07 09:58:51.160936;2011-03-07 10:00:52.173936;11/34
43;guidade turer & visningar;;2011-03-07 09:59:29.991936;2011-03-07 10:01:16.315936;11/34
44;motion & hälsa;;2011-03-07 10:01:40.251936;2011-03-07 10:01:40.251936;11
45;meditation & yoga;;2011-03-07 10:02:05.111936;2011-03-07 10:02:05.111936;11/44
46;friluftsliv;;2011-03-07 10:02:21.068936;2011-03-07 10:02:21.068936;11/44
47;utflykter & promenader;;2011-03-07 10:02:41.114936;2011-03-08 12:00:48.829000;11/44
48;personlig utveckling & lärande;;2011-03-07 10:03:16.745936;2011-03-07 10:03:16.745936;11
49;shopping;;2011-03-07 10:03:31.845936;2011-03-07 10:03:31.845936;11
50;marknader;;2011-03-07 10:08:42.698936;2011-03-07 10:08:42.698936;11/49
51;loppis;;2011-03-07 10:08:57.518936;2011-03-07 10:08:57.518936;11/49
52;auktioner;;2011-03-07 10:09:12.854936;2011-03-07 10:09:12.854936;11/49
53;utförsäljningar;;2011-03-07 10:09:25.960936;2011-03-07 10:09:25.960936;11/49
54;religion & troende;;2011-03-07 10:09:40.204936;2011-03-07 10:09:40.204936;11
55;samhälle;;2011-03-07 10:10:00.480936;2011-05-20 11:10:01.283600;11
56;politik & demokrati;;2011-03-07 10:10:35.684936;2011-05-20 11:10:01.260600;11/55
57;demonstrationer;upprop, protester;2011-03-07 10:14:44.928936;2011-05-20 11:10:01.280600;11/55/56
58;fackligt;;2011-03-07 10:15:01.857936;2011-05-20 11:10:01.282600;11/55
59;företagande & entreprenörsskap;;2011-03-07 10:15:22.340936;2011-05-20 11:12:53.938600;11/55
60;sport- & idrottstävlingar;;2011-03-07 10:16:01.914936;2011-03-07 10:36:49.633936;11
61;hästsport;;2011-03-07 10:16:15.575936;2011-03-07 10:36:49.543936;11/60
62;fotboll;;2011-03-07 10:16:30.230936;2011-03-07 10:36:49.567936;11/60
63;friidrott;;2011-03-07 10:16:50.659936;2011-03-07 10:36:49.590936;11/60
65;helger & säsongsfirande;;2011-03-07 10:17:34.050936;2011-03-07 10:17:49.959936;11
66;valborgsmässoafton;;2011-03-07 10:18:11.329936;2011-03-07 10:18:11.329936;11/65
67;jul & advent;;2011-03-07 10:18:26.950936;2011-03-07 10:18:26.950936;11/65
68;midsommar;;2011-03-07 10:18:43.076936;2011-03-07 10:18:43.076936;11/65
69;eid al fitr;;2011-03-07 10:19:01.007936;2011-03-07 10:19:01.007936;11/65
71;övrigt;Om du verkligen inte hittar annan kategori som passar.;2011-03-07 10:20:14.832936;2011-03-07 10:35:59.957936;11
