admin_id,short_name,parent_admin_id,name
1440,Ale,14,Ale kommun
1489,Alingsås,14,Alingsås kommun
0764,Alvesta,07,Alvesta kommun
0604,Aneby,06,Aneby kommun
1984,Arboga,19,Arboga kommun
2506,Arjeplog,25,Arjeplogs kommun
2505,Arvidsjaur,25,Arvidsjaurs kommun
1784,Arvika,17,Arvika kommun
1882,Askersund,18,Askersunds kommun
2084,Avesta,20,Avesta kommun
1460,Bengtsfors,14,Bengtsfors kommun
2326,Berg,23,Bergs kommun
2403,Bjurholm,24,Bjurholms kommun
1260,Bjuv,12,Bjuvs kommun
2582,Boden,25,Bodens kommun
1443,Bollebygd,14,Bollebygds kommun
2183,Bollnäs,21,Bollnäs kommun
0885,Borgholm,08,Borgholms kommun
2081,Borlänge,20,Borlänge kommun
1490,Borås,14,Borås stad
0127,Botkyrka,01,Botkyrka kommun
0560,Boxholm,05,Boxholms kommun
1272,Bromölla,12,Bromölla kommun
2305,Bräcke,23,Bräcke kommun
1231,Burlöv,12,Burlövs kommun
1278,Båstad,12,Båstads kommun
1438,Dals-Ed,14,Dals-Eds kommun
0162,Danderyd,01,Danderyds kommun
1862,Degerfors,18,Degerfors kommun
2425,Dorotea,24,Dorotea kommun
1730,Eda,17,Eda kommun
0125,Ekerö,01,Ekerö kommun
0686,Eksjö,06,Eksjö kommun
0862,Emmaboda,08,Emmaboda kommun
0381,Enköping,03,Enköpings kommun
0484,Eskilstuna,04,Eskilstuna kommun
1285,Eslöv,12,Eslövs kommun
1445,Essunga,14,Essunga kommun
1982,Fagersta,19,Fagersta kommun
1382,Falkenberg,13,Falkenbergs kommun
1499,Falköping,14,Falköpings kommun
2080,Falun,20,Faluns kommun
1782,Filipstad,17,Filipstads kommun
0562,Finspång,05,Finspångs kommun
0482,Flen,04,Flens kommun
1763,Forshaga,17,Forshaga kommun
1439,Färgelanda,14,Färgelanda kommun
2026,Gagnef,20,Gagnefs kommun
0662,Gislaved,06,Gislaveds kommun
0461,Gnesta,04,Gnesta kommun
0617,Gnosjö,06,Gnosjö kommun
0980,Gotland,09,Gotlands kommun
1764,Grums,17,Grums kommun
1444,Grästorp,14,Grästorps kommun
1447,Gullspång,14,Gullspångs kommun
2523,Gällivare,25,Gällivare kommun
2180,Gävle,21,Gävle kommun
1480,Göteborg,14,Göteborgs stad
1471,Götene,14,Götene kommun
0643,Habo,06,Habo kommun
1783,Hagfors,17,Hagfors kommun
1861,Hallsberg,18,Hallsbergs kommun
1961,Hallstahammar,19,Hallstahammars kommun
1380,Halmstad,13,Halmstads kommun
1761,Hammarö,17,Hammarö kommun
0136,Haninge,01,Haninge kommun
2583,Haparanda,25,Haparanda stad
0331,Heby,03,Heby kommun
2083,Hedemora,20,Hedemora kommun
1283,Helsingborg,12,Helsingborgs stad
1466,Herrljunga,14,Herrljunga kommun
1497,Hjo,14,Hjo kommun
2104,Hofors,21,Hofors kommun
0126,Huddinge,01,Huddinges kommun
2184,Hudiksvall,21,Hudiksvalls kommun
0860,Hultsfred,08,Hultsfreds kommun
1315,Hylte,13,Hylte kommun
0305,Håbo,03,Håbo kommun
1863,Hällefors,18,Hällefors kommun
2361,Härjedalen,23,Härjedalens kommun
2280,Härnösand,22,Härnösands kommun
1401,Härryda,14,Härryda kommun
1293,Hässleholm,12,Hässleholms kommun
1284,Höganäs,12,Höganäs kommun
0821,Högsby,08,Högsby kommun
1266,Hörby,12,Hörby kommun
1267,Höör,12,Höörs kommun
2510,Jokkmokk,25,Jokkmokks kommun
0123,Järfälla,01,Järfälla kommun
0680,Jönköping,06,Jönköpings kommun
2514,Kalix,25,Kalix kommun
0880,Kalmar,08,Kalmar kommun
1446,Karlsborg,14,Karlsborgs kommun
1082,Karlshamn,10,Karlshamns kommun
1883,Karlskoga,18,Karlskoga kommun
1080,Karlskrona,10,Karlskrona kommun
1780,Karlstad,17,Karlstads kommun
