"kommun kort","sista","genitiv",,
"Vallentuna","a",," kommun","Vallentuna kommun"
"Järfälla","a",," kommun","Järfälla kommun"
"Botkyrka","a",," kommun","Botkyrka kommun"
"Sollentuna","a",," kommun","Sollentuna kommun"
"Nacka","a",," kommun","Nacka kommun"
"Sigtuna","a",," kommun","Sigtuna kommun"
"Knivsta","a",," kommun","Knivsta kommun"
"Uppsala","a",," kommun","Uppsala kommun"
"Gnesta","a",," kommun","Gnesta kommun"
"Eskilstuna","a",," kommun","Eskilstuna kommun"
"Trosa","a",," kommun","Trosa kommun"
"Kinda","a",," kommun","Kinda kommun"
"Motala","a",," kommun","Motala kommun"
"Vadstena","a",," kommun","Vadstena kommun"
"Vetlanda","a",," kommun","Vetlanda kommun"
"Alvesta","a",," kommun","Alvesta kommun"
"Mörbylånga","a",," kommun","Mörbylånga kommun"
"Emmaboda","a",," kommun","Emmaboda kommun"
"Karlskrona","a",," kommun","Karlskrona kommun"
"Örkelljunga","a",," kommun","Örkelljunga kommun"
"Lomma","a",," kommun","Lomma kommun"
"Svedala","a",," kommun","Svedala kommun"
"Tomelilla","a",," kommun","Tomelilla kommun"
"Bromölla","a",," kommun","Bromölla kommun"
"Kungsbacka","a",," kommun","Kungsbacka kommun"
"Härryda","a",," kommun","Härryda kommun"
"Färgelanda","a",," kommun","Färgelanda kommun"
"Vårgårda","a",," kommun","Vårgårda kommun"
"Essunga","a",," kommun","Essunga kommun"
"Svenljunga","a",," kommun","Svenljunga kommun"
"Herrljunga","a",," kommun","Herrljunga kommun"
"Vara","a",," kommun","Vara kommun"
"Töreboda","a",," kommun","Töreboda kommun"
"Uddevalla","a",," kommun","Uddevalla kommun"
"Skara","a",," kommun","Skara kommun"
"Eda","a",," kommun","Eda kommun"
"Forshaga","a",," kommun","Forshaga kommun"
"Arvika","a",," kommun","Arvika kommun"
"Kumla","a",," kommun","Kumla kommun"
"Karlskoga","a",," kommun","Karlskoga kommun"
"Nora","a",," kommun","Nora kommun"
"Sala","a",," kommun","Sala kommun"
"Fagersta","a",," kommun","Fagersta kommun"
"Arboga","a",," kommun","Arboga kommun"
"Orsa","a",," kommun","Orsa kommun"
"Mora","a",," kommun","Mora kommun"
"Hedemora","a",," kommun","Hedemora kommun"
"Avesta","a",," kommun","Avesta kommun"
"Ludvika","a",," kommun","Ludvika kommun"
"Ragunda","a",," kommun","Ragunda kommun"
"Dorotea","a",," kommun","Dorotea kommun"
"Vilhelmina","a",," kommun","Vilhelmina kommun"
"Pajala","a",," kommun","Pajala kommun"
"Kiruna","a",," kommun","Kiruna kommun"
"Danderyd","d","s"," kommun","Danderyds kommun"
"Oxelösund","d","s"," kommun","Oxelösunds kommun"
"Gislaved","d","s"," kommun","Gislaveds kommun"
"Vaggeryd","d","s"," kommun","Vaggeryds kommun"
"Tingsryd","d","s"," kommun","Tingsryds kommun"
"Markaryd","d","s"," kommun","Markaryds kommun"
"Hultsfred","d","s"," kommun","Hultsfreds kommun"
"Gotland","d","s"," kommun","Gotlands kommun"
"Båstad","d","s"," kommun","Båstads kommun"
"Lund","d","s"," kommun","Lunds kommun"
"Ystad","d","s"," kommun","Ystads kommun"
"Kristianstad","d","s"," kommun","Kristianstads kommun"
"Halmstad","d","s"," kommun","Halmstads kommun"
"Stenungsund","d","s"," kommun","Stenungsunds kommun"
"Dals-Ed","d","s"," kommun","Dals-Eds kommun"
"Bollebygd","d","s"," kommun","Bollebygds kommun"
"Mellerud","d","s"," kommun","Melleruds kommun"
"Strömstad","d","s"," kommun","Strömstads kommun"
"Mariestad","d","s"," kommun","Mariestads kommun"
"Karlstad","d","s"," kommun","Karlstads kommun"
"Filipstad","d","s"," kommun","Filipstads kommun"
"Askersund","d","s"," kommun","Askersunds kommun"
"Leksand","d","s"," kommun","Leksands kommun"
"Härnösand","d","s"," kommun","Härnösands kommun"
"Strömsund","d","s"," kommun","Strömsunds kommun"
"Östersund","d","s"," kommun","Östersunds kommun"
"Huddinge","e","s"," kommun","Huddinges kommun"
"Haninge","e",," kommun","Haninge kommun"
"Södertälje","e",," kommun","Södertälje kommun"
"Norrtälje","e",," kommun","Norrtälje kommun"
"Ydre","e",," kommun","Ydre kommun"
"Uppvidinge","e",," kommun","Uppvidinge kommun"
"Vellinge","e",," kommun","Vellinge kommun"
"Östra Göinge","e",," kommun","Östra Göinge kommun"
"Kävlinge","e",," kommun","Kävlinge kommun"
"Hylte","e",," kommun","Hylte kommun"
"Partille","e",," kommun","Partille kommun"
"Ale","e",," kommun","Ale kommun"
"Götene","e",," kommun","Götene kommun"
"Skövde","e",," kommun","Skövde kommun"
"Sunne","e",," kommun","Sunne kommun"
"Säffle","e",," kommun","Säffle kommun"
"Borlänge","e",," kommun","Borlänge kommun"
"Gävle","e",," kommun","Gävle kommun"
"Ånge","e",," kommun","Ånge kommun"
"Bräcke","e",," kommun","Bräcke kommun"
"Åre","e",," kommun","Åre kommun"
"Sorsele","e",," kommun","Sorsele kommun"
"Åsele","e",," kommun","Åsele kommun"
