Dag;Månad;Namnsdag
1;1;Nyårsdagen
2;1;Svea
3;1;Alfred
3;1;Alfrida
4;1;Rut
5;1;Hanna
5;1;Hannele
6;1;Baltsar
6;1;Kasper
6;1;Melker
7;1;August
7;1;Augusta
8;1;Erland
9;1;Gunder
9;1;Gunnar
10;1;Sigbritt
10;1;Sigurd
11;1;Jan
11;1;Jannike
12;1;Frideborg
12;1;Fridolf
13;1;Knut
14;1;Felicia
14;1;Felix
15;1;Laura
15;1;Lorentz
16;1;Helmer
16;1;Hjalmar
17;1;Anton
17;1;Tony
18;1;Hilda
18;1;Hildur
19;1;Henrik
20;1;Fabian
20;1;Sebastian
21;1;Agnes
21;1;Agneta
22;1;Viktor
22;1;Vincent
23;1;Frej
23;1;Freja
24;1;Erika
25;1;Paul
25;1;Pål
26;1;Bodil
26;1;Boel
27;1;Göta
27;1;Göte
28;1;Karl
28;1;Karla
29;1;Diana
30;1;Gunhild
30;1;Gunilla
31;1;Ivar
31;1;Joar
1;2;Max
1;2;Maximilian
2;2;Kyndelsmässodagen
3;2;Disa
3;2;Hjördis
4;2;Anselm
4;2;Ansgar
5;2;Agata
5;2;Agda
6;2;Doris
6;2;Dorotea
7;2;Dick
7;2;Rikard
8;2;Bert
8;2;Berta
9;2;Fanny
9;2;Franciska
10;2;Iris
11;2;Inge
11;2;Yngve
12;2;Evelina
12;2;Evy
13;2;Agne
13;2;Ove
14;2;Valentin
15;2;Sigfrid
16;2;Julia
16;2;Julius
17;2;Alexandra
17;2;Sandra
18;2;Frida
18;2;Fritiof
19;2;Ella
19;2;Gabriella
20;2;Vivianne
21;2;Hilding
22;2;Pia
23;2;Torsten
23;2;Torun
24;2;Mats
24;2;Mattias
25;2;Sigvard
25;2;Sivert
26;2;Torgny
26;2;Torkel
27;2;Lage
28;2;Maria
29;2;Skottdagen
1;3;Albin
1;3;Elvira
2;3;Erna
2;3;Ernst
3;3;Gunborg
3;3;Gunvor
4;3;Adrian
4;3;Adriana
